AAEL010168;AAEL009394
AAEL009922;AAEL009383
AAEL004668;AAEL011012
AAEL001378;AAEL002975
AAEL002761;AAEL004680
AAEL015181;AAEL001422
AAEL008508;AAEL010419
AAEL012035;AAEL007184
AAEL010514;AAEL005309
AAEL005077;AAEL011739
AAEL011383;AAEL001451
AAEL011953;AAEL008577
AAEL013518;AAEL005400
AAEL005120;AAEL005400
AAEL012427;AAEL003246
AAEL008703;AAEL013151
AAEL009220;AAEL009220
AAEL010294;AAEL004846
AAEL012156;AAEL006299
AAEL004291;AAEL010419
AAEL009914;AAEL014169
AAEL011093;AAEL010514
AAEL006265;AAEL014825
AAEL011273;AAEL012973
AAEL006523;AAEL007589
AAEL005343;AAEL006651
AAEL002885;AAEL001476
AAEL004173;AAEL007065
AAEL002016;AAEL002064
AAEL002885;AAEL007658
AAEL003013;AAEL012475
AAEL006460;AAEL007658
AAEL013461;AAEL000378
AAEL000568;AAEL007065
AAEL002277;AAEL002277
AAEL006107;AAEL008073
AAEL006107;AAEL009701
AAEL010342;AAEL002714
AAEL012071;AAEL013858
AAEL014718;AAEL012071
AAEL008641;AAEL001193
AAEL008692;AAEL001416
AAEL002016;AAEL009589
AAEL004586;AAEL000128
AAEL006419;AAEL008888
AAEL004586;AAEL009882
AAEL010342;AAEL010342
AAEL014394;AAEL004494
AAEL006107;AAEL002769
AAEL013786;AAEL004494
AAEL013939;AAEL012723
AAEL002714;AAEL002714
AAEL002118;AAEL003877
AAEL008306;AAEL013823
AAEL001574;AAEL004668
AAEL006419;AAEL014528
AAEL004586;AAEL004838
AAEL006712;AAEL002714
AAEL004567;AAEL000378
AAEL003444;AAEL000081
AAEL004586;AAEL005009
AAEL012723;AAEL008585
AAEL002415;AAEL000378
AAEL001603;AAEL012466
AAEL008306;AAEL013824
AAEL003013;AAEL008634
AAEL005655;AAEL003758
AAEL000084;AAEL004653
AAEL002415;AAEL002678
AAEL010744;AAEL011058
AAEL010744;AAEL013094
AAEL007120;AAEL013094
AAEL007120;AAEL011058
AAEL012507;AAEL004427
AAEL002832;AAEL006502
AAEL006063;AAEL001506
AAEL013212;AAEL004427
AAEL007100;AAEL012413
AAEL010821;AAEL003530
AAEL005436;AAEL011865
AAEL014169;AAEL013061
AAEL013778;AAEL002184
AAEL008641;AAEL013997
AAEL010077;AAEL011782
AAEL001619;AAEL006697
AAEL014038;AAEL014038
AAEL009981;AAEL003393
AAEL002261;AAEL002261
AAEL004056;AAEL011529
AAEL009981;AAEL002827
AAEL010003;AAEL009469
AAEL010842;AAEL010244
AAEL001331;AAEL011912
AAEL004056;AAEL010572
AAEL015536;AAEL013800
AAEL000699;AAEL000755
AAEL010514;AAEL013914
AAEL011413;AAEL003103
AAEL011438;AAEL003215
AAEL006167;AAEL005829
AAEL010185;AAEL011098
AAEL013902;AAEL010168
AAEL011438;AAEL010546
AAEL007406;AAEL004333
AAEL002139;AAEL004473
AAEL002885;AAEL006460
AAEL006713;AAEL002818
AAEL001363;AAEL005355
AAEL011834;AAEL001014
AAEL012202;AAEL011462
AAEL010168;AAEL010829
AAEL014060;AAEL003660
AAEL010226;AAEL005508
AAEL001972;AAEL014850
AAEL005455;AAEL005400
AAEL000594;AAEL002139
AAEL009280;AAEL009458
AAEL006235;AAEL008379
AAEL005742;AAEL002934
AAEL009109;AAEL012507
AAEL001972;AAEL010019
AAEL014825;AAEL004995
AAEL009109;AAEL013212
AAEL014325;AAEL014915
AAEL002935;AAEL003143
AAEL010226;AAEL006206
AAEL000844;AAEL003522
AAEL011093;AAEL005307
AAEL008418;AAEL008418
AAEL005307;AAEL005309
AAEL007640;AAEL004607
AAEL007291;AAEL014250
AAEL003163;AAEL011090
AAEL002009;AAEL008328
AAEL015123;AAEL006299
AAEL004338;AAEL002643
AAEL014046;AAEL014314
AAEL003552;AAEL008733
AAEL008469;AAEL004183
AAEL003606;AAEL003606
AAEL007988;AAEL008255
AAEL001698;AAEL007509
AAEL005307;AAEL013914
AAEL001244;AAEL013845
AAEL014957;AAEL004763
AAEL011744;AAEL011361
AAEL002975;AAEL002975
AAEL007367;AAEL010611
AAEL008958;AAEL002084
AAEL007367;AAEL011689
AAEL004338;AAEL001555
AAEL005355;AAEL013061
AAEL001363;AAEL004848
AAEL005355;AAEL014169
AAEL005355;AAEL004848
AAEL001363;AAEL014169
AAEL013700;AAEL008755
AAEL004733;AAEL000270
AAEL007029;AAEL003416
AAEL006518;AAEL006518
AAEL015584;AAEL004607
AAEL007566;AAEL014883
AAEL007566;AAEL013591
AAEL003611;AAEL002533
AAEL009407;AAEL004052
AAEL003371;AAEL009160
AAEL013818;AAEL012348
AAEL013818;AAEL015244
AAEL007617;AAEL008692
AAEL008788;AAEL002303
AAEL013530;AAEL003371
AAEL012925;AAEL009400
AAEL001363;AAEL013061
AAEL004848;AAEL013061
AAEL001733;AAEL007211
AAEL008171;AAEL006048
AAEL011192;AAEL007211
AAEL002009;AAEL011094
AAEL007988;AAEL002831
AAEL009059;AAEL009041
AAEL008255;AAEL002831
AAEL005358;AAEL005358
AAEL011875;AAEL001422
AAEL010662;AAEL002687
AAEL001385;AAEL011363
AAEL015566;AAEL002687
AAEL002384;AAEL015120
AAEL002384;AAEL011667
AAEL001359;AAEL001359
AAEL006647;AAEL000026
AAEL008700;AAEL008700
AAEL012658;AAEL005782
AAEL005736;AAEL007469
AAEL007457;AAEL011358
AAEL000478;AAEL005355
AAEL011663;AAEL005719
AAEL005651;AAEL015236
AAEL009280;AAEL011776
AAEL013094;AAEL008694
AAEL007822;AAEL007710
AAEL005651;AAEL012049
AAEL002643;AAEL002643
AAEL013529;AAEL003445
AAEL008081;AAEL011057
AAEL015216;AAEL008692
AAEL011058;AAEL008694
AAEL012326;AAEL009357
AAEL005500;AAEL011754
AAEL000478;AAEL001363
AAEL000719;AAEL009958
AAEL008743;AAEL013679
AAEL011438;AAEL004983
AAEL003271;AAEL006960
AAEL008743;AAEL014722
AAEL002643;AAEL001555
AAEL009220;AAEL002096
AAEL010088;AAEL007357
AAEL009089;AAEL002286
AAEL007988;AAEL013369
AAEL007297;AAEL002508
AAEL007988;AAEL003912
AAEL007065;AAEL007065
AAEL009602;AAEL014934
AAEL004852;AAEL004852
AAEL015389;AAEL008692
AAEL001555;AAEL001555
AAEL013693;AAEL011057
AAEL002098;AAEL008081
AAEL007988;AAEL007185
AAEL002286;AAEL007574
AAEL008617;AAEL005400
AAEL012543;AAEL013800
AAEL004630;AAEL003623
AAEL013530;AAEL009160
AAEL011663;AAEL013869
AAEL005356;AAEL005719
AAEL000478;AAEL004848
AAEL000478;AAEL014169
AAEL002098;AAEL013693
AAEL001188;AAEL005197
AAEL004262;AAEL014501
AAEL013181;AAEL015076
AAEL011704;AAEL014957
AAEL008165;AAEL015076
AAEL014843;AAEL014957
AAEL000475;AAEL014295
AAEL008621;AAEL004492
AAEL008641;AAEL010070
AAEL001742;AAEL004288
AAEL013613;AAEL004338
AAEL011192;AAEL013386
AAEL001733;AAEL013386
AAEL008641;AAEL001041
AAEL013065;AAEL003112
AAEL001562;AAEL010809
AAEL009515;AAEL003807
AAEL014046;AAEL003019
AAEL009910;AAEL013256
AAEL007650;AAEL010063
AAEL003180;AAEL001103
AAEL012122;AAEL010048
AAEL002092;AAEL011250
AAEL005455;AAEL003537
AAEL010019;AAEL008763
AAEL014850;AAEL008763
AAEL012658;AAEL006897
AAEL010744;AAEL002975
AAEL009731;AAEL005573
AAEL002284;AAEL001260
AAEL009442;AAEL003505
AAEL011112;AAEL011112
AAEL011745;AAEL010013
AAEL010821;AAEL005027
AAEL000175;AAEL010843
AAEL010143;AAEL000454
AAEL012658;AAEL005783
AAEL001385;AAEL015342
AAEL009160;AAEL005511
AAEL013453;AAEL011220
AAEL003344;AAEL001039
AAEL012472;AAEL013975
AAEL009914;AAEL004848
AAEL009160;AAEL002480
AAEL005106;AAEL008373
AAEL006115;AAEL014715
AAEL006115;AAEL009617
AAEL000478;AAEL013061
AAEL007120;AAEL002975
AAEL004858;AAEL003252
AAEL001321;AAEL012817
AAEL004835;AAEL003252
AAEL002829;AAEL003650
AAEL012507;AAEL001103
AAEL014742;AAEL007297
AAEL013212;AAEL001103
AAEL014314;AAEL004698
AAEL009835;AAEL011173
AAEL001102;AAEL008363
AAEL012472;AAEL015640
AAEL004473;AAEL004473
AAEL010063;AAEL009320
AAEL012904;AAEL007845
AAEL007650;AAEL009320
AAEL013212;AAEL003180
AAEL012507;AAEL003180
AAEL002089;AAEL014749
AAEL009306;AAEL010730
AAEL005061;AAEL003736
AAEL007787;AAEL007738
AAEL014746;AAEL002240
AAEL009660;AAEL004763
AAEL007787;AAEL012097
AAEL007033;AAEL007033
AAEL011708;AAEL014957
AAEL012116;AAEL002886
AAEL003173;AAEL011090
AAEL005368;AAEL000755
AAEL014064;AAEL002886
AAEL000955;AAEL007162
AAEL008000;AAEL011012
AAEL012612;AAEL008167
AAEL001140;AAEL005494
AAEL014018;AAEL014670
AAEL004680;AAEL011711
AAEL005500;AAEL003972
AAEL008641;AAEL013991
AAEL006738;AAEL000339
AAEL004291;AAEL006346
AAEL008508;AAEL006346
AAEL011304;AAEL011934
AAEL006988;AAEL006789
AAEL008621;AAEL010094
AAEL000394;AAEL015244
AAEL000394;AAEL012348
AAEL010305;AAEL009614
AAEL008323;AAEL006352
AAEL008257;AAEL007521
AAEL009465;AAEL006223
AAEL000255;AAEL004653
AAEL005174;AAEL007682
AAEL010080;AAEL007457
AAEL007484;AAEL001516
AAEL004631;AAEL003957
AAEL014600;AAEL000897
AAEL014040;AAEL002980
AAEL007883;AAEL000262
AAEL014040;AAEL014167
AAEL012035;AAEL013302
AAEL002887;AAEL004858
AAEL002887;AAEL004835
AAEL002810;AAEL000999
AAEL011905;AAEL008154
AAEL000692;AAEL006501
AAEL006374;AAEL006374
AAEL008124;AAEL009731
AAEL000810;AAEL002240
AAEL001756;AAEL003273
AAEL011650;AAEL010704
AAEL006792;AAEL000106
AAEL010945;AAEL012515
AAEL002474;AAEL010244
AAEL001932;AAEL014148
AAEL009171;AAEL007444
AAEL005174;AAEL007290
AAEL008687;AAEL004808
AAEL013144;AAEL012661
AAEL013144;AAEL006851
AAEL006135;AAEL009839
AAEL012240;AAEL001516
AAEL010284;AAEL010284
AAEL008164;AAEL008164
AAEL005061;AAEL007330
AAEL005061;AAEL013769
AAEL003568;AAEL003568
AAEL013134;AAEL007568
AAEL005364;AAEL000983
AAEL007521;AAEL013688
AAEL002337;AAEL008095
AAEL004178;AAEL004178
AAEL006735;AAEL008700
AAEL000982;AAEL010797
AAEL002337;AAEL008086
AAEL014732;AAEL008425
AAEL009160;AAEL008758
AAEL009170;AAEL005166
AAEL006177;AAEL009882
AAEL007284;AAEL011304
AAEL006883;AAEL011323
AAEL002337;AAEL013212
AAEL002216;AAEL008661
AAEL002337;AAEL012507
AAEL013154;AAEL011025
AAEL005169;AAEL005276
AAEL004474;AAEL006510
AAEL005500;AAEL010794
AAEL013390;AAEL005802
AAEL011650;AAEL007124
AAEL012472;AAEL014584
AAEL002337;AAEL003180
AAEL003180;AAEL004427
AAEL001969;AAEL011848
AAEL000709;AAEL007696
AAEL012014;AAEL004967
AAEL007521;AAEL010030
AAEL006642;AAEL002851
AAEL007637;AAEL005827
AAEL000440;AAEL000404
AAEL007939;AAEL002810
AAEL013229;AAEL002851
AAEL011701;AAEL008794
AAEL008247;AAEL011876
AAEL012904;AAEL006091
AAEL002337;AAEL004427
AAEL009814;AAEL000955
AAEL005858;AAEL010033
